id,nombre_busqueda,texto_original,filtros,guardado,created_at,updated_at,usuario_id,ultima_revision
68eb8274-9db2-46da-81e7-40167b4be93a,Busqueda de ejemplo,apartamento 2 dormitorios pocitos,"{""tipo"": ""apartamento"", ""operacion"": ""venta""}",True,2025-09-03 12:53:13.077355+00:00,2025-09-03 12:53:13.077355+00:00,2,
c9eb2f34-fada-4963-9099-1f224c4d8236,a1,"Apartamento en Venta en Cordón, 1 a 2 dormitorios, 1 baño, sin cochera, 45 a 60 totales, 40 a 50 cubiertos, entre 5000000 y 6500000 de pesos, a estrenar. Con piscina, terraza, ascensor, aire acondicionado. Constituyente","{""tipo"": ""Apartamento"", ""ciudad"": ""Cordón"", ""moneda"": ""UYU"", ""piscina"": true, ""terraza"": true, ""ascensor"": true, ""banos_max"": 1, ""banos_min"": 1, ""operacion"": ""Venta"", ""precio_max"": 6500000, ""precio_min"": 5000000, ""cocheras_max"": 0, ""cocheras_min"": 0, ""departamento"": ""Montevideo"", ""antiguedad_max"": 0, ""dormitorios_max"": 2, ""dormitorios_min"": 1, ""aire_acondicionado"": true, ""superficie_total_max"": 60, ""superficie_total_min"": 45, ""superficie_cubierta_max"": 50, ""superficie_cubierta_min"": 40}",True,2025-09-03 12:54:26.506406+00:00,2025-09-03 12:54:49.426880+00:00,2,2025-09-03 09:54:49+00:00
abf990dd-a59b-441c-b7ba-a9bafd094e3d,v1,"venta en Venta en carrasco, 1 a 2 dormitorios, 1 baño, sin cochera,, entre 5000000 y 6500000 de dolares, a estrenar. Con piscina, terraza, ascensor, aire acondicionado. patio","{""tipo"": ""Apartamento"", ""ciudad"": ""Carrasco"", ""moneda"": ""USD"", ""piscina"": true, ""terraza"": true, ""ascensor"": true, ""banos_max"": 1, ""banos_min"": 1, ""operacion"": ""Venta"", ""precio_max"": 6500000, ""precio_min"": 5000000, ""departamento"": ""Montevideo"", ""antiguedad_max"": 0, ""dormitorios_max"": 2, ""dormitorios_min"": 1, ""aire_acondicionado"": true}",True,2025-09-03 12:55:34.756480+00:00,2025-09-03 12:55:52.583176+00:00,2,2025-09-03 09:55:52+00:00
9fa7f803-ab2d-433d-91f7-0bb7e1d097d0,v2,"venta en Venta en carrasco, 1 a 2 dormitorios, 1 baño, entre 5000000 y 6500000 de dolares, a estrenar. Con piscina y aire acondicionado. patio","{""tipo"": ""Apartamento"", ""ciudad"": ""Carrasco"", ""moneda"": ""USD"", ""piscina"": true, ""banos_max"": 1, ""banos_min"": 1, ""operacion"": ""Venta"", ""precio_max"": 6500000, ""precio_min"": 5000000, ""departamento"": ""Montevideo"", ""antiguedad_max"": 0, ""dormitorios_max"": 2, ""dormitorios_min"": 1, ""aire_acondicionado"": true}",True,2025-09-03 12:56:33.411063+00:00,2025-09-03 12:56:47.375652+00:00,2,2025-09-03 09:56:47+00:00
1d05f7ce-9328-4b0e-8ba4-796fca2103ed,v2,"venta en Venta en carrasco, entre 500000 y 6500000 de dolares, a estrenar. Con piscina y aire acondicionado. patio","{""ciudad"": ""Carrasco"", ""moneda"": ""USD"", ""piscina"": true, ""operacion"": ""Venta"", ""precio_max"": 6500000, ""precio_min"": 500000, ""departamento"": ""Montevideo"", ""antiguedad_max"": 0, ""antiguedad_min"": 0, ""aire_acondicionado"": true}",True,2025-09-03 12:57:34.307382+00:00,2025-09-03 13:00:03.131134+00:00,2,2025-09-03 10:00:02+00:00
524cce51-7495-4355-9071-9ea101b069d7,a2,"Apartamento en Venta en Cordón, 1 a 2 dormitorios, 40 a 50 cubiertos, entre 5000000 y 6500000 de pesos, a estrenar. Con piscina, terraza, ascensor, aire acondicionado. luminoso","{""tipo"": ""Apartamento"", ""ciudad"": ""Cordón"", ""moneda"": ""UYU"", ""piscina"": true, ""terraza"": true, ""ascensor"": true, ""operacion"": ""Venta"", ""precio_max"": 6500000, ""precio_min"": 5000000, ""departamento"": ""Montevideo"", ""antiguedad_max"": 0, ""dormitorios_max"": 2, ""dormitorios_min"": 1, ""aire_acondicionado"": true, ""superficie_cubierta_max"": 50, ""superficie_cubierta_min"": 40}",True,2025-09-03 13:03:54.869499+00:00,2025-09-03 13:04:21.013502+00:00,2,2025-09-03 10:04:20+00:00
ffda11b1-4f9c-43c1-9809-d85d21abd5fd,a3,"Apartamento en Venta en Cordón, 1 a 2 dormitorios, 1 baño, sin cochera, 45 a 60 totales, 40 a 50 cubiertos, entre 5000000 y 6500000 de pesos, a estrenar. Con piscina, terraza, ascensor, aire acondicionado. Constituyente","{""tipo"": ""Apartamento"", ""ciudad"": ""Cordón"", ""moneda"": ""UYU"", ""piscina"": true, ""terraza"": true, ""ascensor"": true, ""banos_max"": 1, ""banos_min"": 1, ""operacion"": ""Venta"", ""precio_max"": 6500000, ""precio_min"": 5000000, ""cocheras_max"": 0, ""cocheras_min"": 0, ""departamento"": ""Montevideo"", ""antiguedad_max"": 0, ""antiguedad_min"": 0, ""dormitorios_max"": 2, ""dormitorios_min"": 1, ""aire_acondicionado"": true, ""superficie_total_max"": 60, ""superficie_total_min"": 45, ""superficie_cubierta_max"": 50, ""superficie_cubierta_min"": 40}",True,2025-09-03 14:11:32.827411+00:00,2025-09-03 14:11:54.944974+00:00,2,2025-09-03 11:11:54+00:00
8db6aef5-8881-4311-9bbe-d57573d1ea2f,a4,"Apartamento en Venta en Cordón, 1 a 2 dormitorios, 1 baño, sin cochera, 45 a 60 totales, 40 a 50 cubiertos, entre 5000000 y 6500000 de pesos, a estrenar. Con piscina, terraza, ascensor, aire acondicionado. Constituyente","{""tipo"": ""Apartamento"", ""ciudad"": ""Cordón"", ""moneda"": ""UYU"", ""piscina"": true, ""terraza"": true, ""ascensor"": true, ""banos_max"": 1, ""banos_min"": 1, ""operacion"": ""Venta"", ""precio_max"": 6500000, ""precio_min"": 5000000, ""cocheras_max"": 0, ""cocheras_min"": 0, ""departamento"": ""Montevideo"", ""antiguedad_max"": 0, ""antiguedad_min"": 0, ""dormitorios_max"": 2, ""dormitorios_min"": 1, ""aire_acondicionado"": true, ""superficie_total_max"": 60, ""superficie_total_min"": 45, ""superficie_cubierta_max"": 50, ""superficie_cubierta_min"": 40}",True,2025-09-03 14:12:19.344325+00:00,2025-09-03 14:12:39.701358+00:00,2,2025-09-03 11:12:39+00:00
57f10aa9-c274-4c29-8c0c-3f8d71174397,a5,"Apartamento en Venta en Cordón, 1 a 2 dormitorios, 1 baño, sin cochera, 45 a 60 totales, 40 a 50 cubiertos, entre 5000000 y 6500000 de pesos, a estrenar. Con piscina, terraza, ascensor, aire acondicionado. Constituyente","{""tipo"": ""Apartamento"", ""ciudad"": ""Cordón"", ""moneda"": ""UYU"", ""piscina"": true, ""terraza"": true, ""ascensor"": true, ""banos_max"": 1, ""banos_min"": 1, ""operacion"": ""Venta"", ""precio_max"": 6500000, ""precio_min"": 5000000, ""cocheras_max"": 0, ""cocheras_min"": 0, ""departamento"": ""Montevideo"", ""antiguedad_max"": 0, ""antiguedad_min"": 0, ""dormitorios_max"": 2, ""dormitorios_min"": 1, ""aire_acondicionado"": true, ""superficie_total_max"": 60, ""superficie_total_min"": 45, ""superficie_cubierta_max"": 50, ""superficie_cubierta_min"": 40}",True,2025-09-04 11:19:29.685015+00:00,2025-09-04 11:19:51.208025+00:00,2,2025-09-04 08:19:51+00:00
71c8e548-2b01-462f-bba9-3252b60aea18,a6,"Apartamento en Venta en Cordón, 1 a 2 dormitorios, 1 baño, sin cochera, 45 a 60 totales, 40 a 50 cubiertos, entre 5000000 y 6500000 de pesos, a estrenar. Con piscina, terraza, ascensor, aire acondicionado. Constituyente","{""tipo"": ""Apartamento"", ""ciudad"": ""Cordón"", ""moneda"": ""UYU"", ""piscina"": true, ""terraza"": true, ""ascensor"": true, ""banos_max"": 1, ""banos_min"": 1, ""operacion"": ""Venta"", ""precio_max"": 6500000, ""precio_min"": 5000000, ""cocheras_max"": 0, ""cocheras_min"": 0, ""departamento"": ""Montevideo"", ""antiguedad_max"": 0, ""antiguedad_min"": 0, ""dormitorios_max"": 2, ""dormitorios_min"": 1, ""aire_acondicionado"": true, ""superficie_total_max"": 60, ""superficie_total_min"": 45, ""superficie_cubierta_max"": 50, ""superficie_cubierta_min"": 40}",True,2025-09-04 13:55:51.358289+00:00,2025-09-04 13:56:13.462458+00:00,2,2025-09-04 10:56:13+00:00
8de793b3-5b8f-4d5e-a1d4-1b2860906bab,a7,"Apartamento en Venta en Cordón, 1 a 2 dormitorios, 1 baño, sin cochera, 45 a 60 totales, 40 a 50 cubiertos, entre 5000000 y 6500000 de pesos, a estrenar. Con piscina, terraza, ascensor, aire acondicionado. Constituyente","{""tipo"": ""Apartamento"", ""ciudad"": ""Cordón"", ""moneda"": ""UYU"", ""piscina"": true, ""terraza"": true, ""ascensor"": true, ""banos_max"": 1, ""banos_min"": 1, ""operacion"": ""Venta"", ""precio_max"": 6500000, ""precio_min"": 5000000, ""cocheras_max"": 0, ""cocheras_min"": 0, ""departamento"": ""Montevideo"", ""antiguedad_max"": 0, ""antiguedad_min"": 0, ""dormitorios_max"": 2, ""dormitorios_min"": 1, ""aire_acondicionado"": true, ""superficie_total_max"": 60, ""superficie_total_min"": 45, ""superficie_cubierta_max"": 50, ""superficie_cubierta_min"": 40}",True,2025-09-04 14:13:01.191851+00:00,2025-09-04 14:13:21.679915+00:00,2,2025-09-04 11:13:21+00:00
cd57b03b-de7e-4de2-ab20-64fc72c86166,a9 - sin f,"Apartamento en Venta en Cordón, 1 a 2 dormitorios, 1 baño, sin cochera, 45 a 60 totales, 40 a 50 cubiertos, entre 5000000 y 6500000 de pesos, a estrenar. Con piscina, terraza, ascensor, aire acondicionado.","{""tipo"": ""Apartamento"", ""ciudad"": ""Cordón"", ""moneda"": ""UYU"", ""piscina"": true, ""terraza"": true, ""ascensor"": true, ""banos_max"": 1, ""banos_min"": 1, ""operacion"": ""Venta"", ""precio_max"": 6500000, ""precio_min"": 5000000, ""cocheras_max"": 0, ""cocheras_min"": 0, ""departamento"": ""Montevideo"", ""antiguedad_max"": 0, ""antiguedad_min"": 0, ""dormitorios_max"": 2, ""dormitorios_min"": 1, ""aire_acondicionado"": true, ""superficie_total_max"": 60, ""superficie_total_min"": 45, ""superficie_cubierta_max"": 50, ""superficie_cubierta_min"": 40}",True,2025-09-04 16:17:21.006013+00:00,2025-09-04 16:17:38.043307+00:00,2,2025-09-04 13:17:37+00:00
bcbcd219-d957-40c4-9a03-c217b4a7f29e,a8,"Apartamento en Venta en Cordón, 1 a 2 dormitorios, 1 baño, sin cochera, 45 a 60 totales, 40 a 50 cubiertos, entre 5000000 y 6500000 de pesos, a estrenar. Con piscina, terraza, ascensor, aire acondicionado. Constituyente","{""tipo"": ""Apartamento"", ""ciudad"": ""Cordón"", ""moneda"": ""UYU"", ""piscina"": true, ""terraza"": true, ""ascensor"": true, ""banos_max"": 1, ""banos_min"": 1, ""operacion"": ""Venta"", ""precio_max"": 6500000, ""precio_min"": 5000000, ""cocheras_max"": 0, ""cocheras_min"": 0, ""departamento"": ""Montevideo"", ""antiguedad_max"": 0, ""antiguedad_min"": 0, ""dormitorios_max"": 2, ""dormitorios_min"": 1, ""aire_acondicionado"": true, ""superficie_total_max"": 60, ""superficie_total_min"": 45, ""superficie_cubierta_max"": 50, ""superficie_cubierta_min"": 40}",True,2025-09-04 16:16:42.485228+00:00,2025-09-04 16:17:05.264838+00:00,2,2025-09-04 13:17:05+00:00
ac34c5da-4b1f-48fd-83fd-558a7a0c2d0f,Smoke test save,,"{""tipo"": ""apartamento"", ""ciudad"": ""Pocitos"", ""moneda"": ""USD"", ""operacion"": ""alquiler"", ""precio_max"": 1000, ""precio_min"": 500, ""departamento"": ""Montevideo""}",True,2025-09-04 17:28:19.941848+00:00,2025-09-04 17:28:40.874541+00:00,2,2025-09-04 14:28:39+00:00
